Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Kauan Vitor,VIT,Lateral,1.0,0.0,0.0,0
Luan Cândido,VIT,Lateral,6.8,3.88,1.65,12
Mateus Silva,VIT,Lateral,4.95,4.85,0.0,2
Nathan Mendes,VIT,Lateral,7.52,5.02,0.0,12
Ramon,VIT,Lateral,8.19,4.84,0.47,16
Alejandro,VIT,Meia,2.0,0.0,0.0,0
Baralhas,VIT,Meia,9.25,5.24,0.0,15
Caíque,VIT,Meia,4.64,2.5,0.0,17
Dudu,VIT,Meia,5.01,3.95,0.0,2
Edenílson,VIT,Meia,3.1,1.55,0.0,9
Emmanuel Martínez,VIT,Meia,6.52,3.38,-0.18,16
Matheuzinho,VIT,Meia,7.07,3.67,1.4,19
Pochettino,VIT,Meia,4.69,1.12,-0.52,4
Rúben Ismael,VIT,Meia,4.0,0.0,0.0,0
Walace,VIT,Meia,2.87,0.55,-0.5,4
Wendell,VIT,Meia,2.0,0.0,0.0,0
Zé Vitor,VIT,Meia,6.21,4.16,0.92,13
Jair Ventura,VIT,Técnico,8.98,5.2,0.77,20
Brítez,VIT,Zagueiro,5.88,3.3,0.62,3
Cacá,VIT,Zagueiro,5.99,2.79,1.15,15
Camutanga,VIT,Zagueiro,6.71,3.95,0.0,7
Cauan Farias,VIT,Zagueiro,1.0,0.0,0.0,0
Edu,VIT,Zagueiro,4.13,1.5,0.0,1
Kauan Coutinho,VIT,Zagueiro,1.0,0.0,0.0,0
